"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Digital Twin Assessments in Virtual Reality: An Explorational Study with Aeroengines","S. K. Tadeja; Y. Lu; P. Seshadri; P. O. Kristensson","Department of Engineering, University of Cambridge, Cambridge, UK; Department of Engineering Mechanics, School of Aerospace Engineering, Tsinghua University, Beijing, China; The Alan Turing Institute, London, UK; Department of Engineering, University of Cambridge, Cambridge, UK","2020 IEEE Aerospace Conference","21 Aug 2020","2020","","","1","13","We present an immersive environment where Virtual Reality (VR) is used to visualize the performance of a fleet of aircraft engines. Our virtual environment uses 3D geometric computer-aided design (CAD) models of the engines paired with performance maps that characterize their nominal working condition. These maps plot pressure ratio and efficiency as a function of shaft speed and inlet flow capacity for the numerous engine sub-systems. Superimposed on these maps is the true performance of each engine, obtained through real-time sensors. In this bespoke virtual space, an engineer can rapidly analyze the health of different engine sub-systems across the fleet within seconds. One of the key elements of such a system is the selection of an appropriate interaction technique. In this paper we explore the potential of interaction methods supported by a combination of gaze-tracking and hand-tracking achieved via an additional sensor attached to the front of the VR headset, with no need for the user to hold a controller. We report on an observational study with a small number of domain-experts to identify usability problems, spot potential improvements, and gain insights into our design interaction capabilities. The study allows us to trim the design space and to guide further design efforts in this area. We also analyze qualitative feedback provided by the end-users and discuss the lessons learned during the design, implementation, verification and validation of the system.","1095-323X","978-1-7281-2734-7","10.1109/AERO47225.2020.9172389","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9172389","","","","9","","39","IEEE","21 Aug 2020","","","IEEE","IEEE Conferences"
"Vision-Based Product Tracking Method for Cyber-Physical Production Systems in Industry 4.0","F. K. Konstantindis; A. Gasteratos; S. G. Mouroutsos","Department of Electrical and Computer Engineering, Democritus University of Thrace, Kimmeria, Xanthi, Greece; Department of Production and Management Engineering, Democritus University of Thrace, 12 Vas. Sophias, Xanthi, Greece; Department of Electrical and Computer Engineering, Democritus University of Thrace, Kimmeria, Xanthi, Greece","2018 IEEE International Conference on Imaging Systems and Techniques (IST)","16 Dec 2018","2018","","","1","6","A competitive company should possess the ability to rapidly adopt to changes and the new era of the fourth industrial revolution (Industry 4.0) puts forward an incredible reshaping of the entire manufacturing sector. The primary goal of Industry 4.0 should be to transform the massive production lines from a system-based scheme to a product-based one, while individuals and cyber-physical systems (CPSs) should interact with each other and with objects. This advantage can be achieved in a smart factory, so as to allow product tracking all the way through manufacturing by interacting with any other factory component via cloud computing. Towards this end, in this paper we propose a vision-oriented method, which utilizes detection and tracking along with a cloud-based platform to facilitate product tracking and interaction. The proposed method make use of a panoramic camera composing a CPS, which a part of a cyber-physical production system (CPPS). We study and evaluate the proposed CPS in a computer integrated manufacturing (CIM) scenario.","1558-2809","978-1-5386-6628-9","10.1109/IST.2018.8577189","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8577189","","Feature extraction;Cloud computing;Cameras;Manufacturing;Real-time systems;Production systems;Industries","","9","","28","IEEE","16 Dec 2018","","","IEEE","IEEE Conferences"
"A Blockchain-Enabled Trusted Identifier Co-Governance Architecture for the Industrial Internet of Things","R. Huo; S. Zeng; Y. Di; X. Cheng; T. Huang; F. R. Yu; Y. Liu","Beijing University of Technology, China; Shenzhen Power Supply Bureau Co., Ltd, China; Beijing University of Technology, China; Beijing University of Technology, China; Beijing University of Posts and Telecommunications, China; Carleton University, Canada; Beijing University of Posts and Telecommunications, China","IEEE Communications Magazine","17 Jun 2022","2022","60","6","66","72","Recently, the Industrial Internet of Things plays a vital role in the new round of technology innovation and industry competition, where the identity resolution system is its key component. However, there are some problems in the existing Handle-based identity resolution architecture. Therefore, a trusted identifier co-governance architecture is proposed, and a prototype system is designed and implemented in this article. Specifically, we design a blockchain-based decentralized framework for identifier service, identifier life cycle management based on smart contract, and a data storage mechanism for a trusted identifier. The whole architecture could solve the problems of single point of failure, data tampering, and governance deviation, and reduce the trust cost in the process of data circulation. The simulation results reveal that the system has achieved good results in terms of delay and throughput.","1558-1896","","10.1109/MCOM.001.2100448","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9799789","","Blockchains;Technological innovation;Costs;Industrial Internet of Things;Smart contracts;Competitive intelligence;Memory;Trust computing;Storage management","","8","","15","IEEE","17 Jun 2022","","","IEEE","IEEE Magazines"
"Mass Digitization of Individual Pinned Insects Using Conveyor-Driven Imaging","R. Tegelberg; J. Kahanpää; J. Karppinen; T. Mononen; Z. Wu; H. Saarenmaa","Digitarium, University of Eastern Finland, Joensuu, finland; Finnish Museum of Natural History, University of Helsinki, Helsinki, Finland; Digitarium, University of Eastern Finland, Joensuu, finland; Digitarium, University of Eastern Finland, Joensuu, finland; Digitarium, University of Eastern Finland, Joensuu, finland; Department of Forest Sciences, University of Helsinki, Helsinki, Finland","2017 IEEE 13th International Conference on e-Science (e-Science)","16 Nov 2017","2017","","","523","527","Natural history museums of the world house hundreds of millions of insect specimens. Digitization of individual, pinned specimens is a challenging task, especially if the pinned data labels are expected to be imaged as well. Two automatic digitization lines for imaging of small objects were designed and built by the Digitarium team. Lines were used to test digitization efficiency of several subgroups of pinned insects: butterflies, beetles, flies and bees. Results showed that speed of digitization varied between 41-125 specimens an hour, depending on the number of operators, pre-treatments needed, and the number of cameras used. The amount of transcription work during the process also affected the pace of work by the operators. After testing it was calculated that basic in-house costs of automatized digitization of a specimen were around 0.40 - 0.60 €, while commercial prices varied between 1.20 - 1.40 €.","","978-1-5386-2686-3","10.1109/eScience.2017.85","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8109190","mass digitization;conveyor belt;pinned insect;entomology","Insects;Belts;Cameras;Pins;History","","6","","17","IEEE","16 Nov 2017","","","IEEE","IEEE Conferences"
"An Overview of Smart Manufacturing for Competitive and Digital Global Supply Chains","S. MENON; S. SHAH; A. COUTROUBIS","Faculty of Engineering and Science, University of Greenwich, London, UK; Off Campus/Institute of Management, University of Bolton, Bolton, UK; Faculty of Engineering and Science, University of Greenwich, London, UK","2018 IEEE International Conference on Technology Management, Operations and Decisions (ICTMOD)","14 Apr 2019","2018","","","178","183","This research study aims to examine and review the key advantages of smart manufacturing to achieve and improve performance within global supply chain environments. In recent years supply chain has been arisen as one of the major areas to gain a competitive edge in manufacturing industries. The current business methodologies of short product life cycle, increased outsourcing, expanding product variety, improved customer focus and improved technologies has led supply chain to be some challenging and complex tasks. Smart Manufacturing has been considered as a successful advancement in industrial revolution featuring resource efficiency, adaptability, agitability with wide application of internet and other innovative engineering technologies integrating of customers and business value processes creating a better manufacturing environment. The research is at its preliminary stages and will aim to examine and evaluate existing literature within the areas of smart and digital manufacturing and compare examples of best practices and methods towards creating a detailed comprehensive and systematic finding of the key research studies. This paper is a literature review which aims to review the benefits of smart manufacturing and its influence to achieve an improved performance in supply chain.","2159-5119","978-1-5386-4315-0","10.1109/ITMC.2018.8691224","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8691224","smart manufacturing;digital Supply Chain;industry 4.0;competitive advantage;digital manufacturing","Smart manufacturing;Industries;Supply chains;Robot sensing systems;Real-time systems","","6","","29","IEEE","14 Apr 2019","","","IEEE","IEEE Conferences"
"Dynamic digital twin for predictive maintenance in flexible production systems","A. Barthelmey; E. Lee; R. Hana; J. Deuse","Institute of Production Systems, TU Dortmund University, Dortmund, Germany; IoT Research Division, ETRI, Daejeon, Korea; Institute of Production Systems, TU Dortmund University, Dortmund, Germany; Institute of Production Systems, TU Dortmund University, Dortmund, Germany","IECON 2019 - 45th Annual Conference of the IEEE Industrial Electronics Society","9 Dec 2019","2019","1","","4209","4214","Technical innovations to improve production systems flexibility have been extensively investigated and are already available to industrial practice. However, the production companies' internal structures and processes must also meet these flexibility requirements in order for system adjustments to be efficiently carried out. Due to the direct influence on availability, performance and quality losses, maintenance is particularly relevant. Therefore, this paper considers the effects of flexibility on the promising strategy of predictive maintenance. With the digital twin, its update service and a labelling interface, the essential components of a predictive maintenance system for flexible production systems are introduced in detail. This application is based on a reference plant in the form of a flexible hybrid assembly system. The outlook discusses the transferability to other industrial use cases.","2577-1647","978-1-7281-4878-6","10.1109/IECON.2019.8927397","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8927397","predictive maintenance;flexibility;digital twin;data science;event-driven architecture","Production systems;Predictive maintenance;Data models;Unified modeling language;Solid modeling","","6","","22","IEEE","9 Dec 2019","","","IEEE","IEEE Conferences"
"An Overview of Warehousing Applications based on Cable Robot Technology in Logistics","C. Alias; I. Nikolaev; E. G. Correa Magallanes; B. Noche","Department of Transport Systems and Logistics, University of Duisburg-Essen, Duisburg, Germany; Department of Transport Systems and Logistics, University of Duisburg-Essen, Duisburg, Germany; Department of Transport Systems and Logistics, University of Duisburg-Essen, Duisburg, Germany; Department of Transport Systems and Logistics, University of Duisburg-Essen, Duisburg, Germany","2018 IEEE International Conference on Service Operations and Logistics, and Informatics (SOLI)","30 Sep 2018","2018","","","232","239","Robotics belongs to the megatrends radically changing the logistics industry which has long time been reluctant to the adoption of technological innovation. Facing aggravated competition by ever new and stronger actors in the industry, labor shortage due to demographic shifts, and constant cost pressure, logistics robots are considered as an effective means to tackle those problems. By taking a look at the market of logistics robots, the market condition for cable-driven parallel robots for storage purposes can be studied and a successful introduction into the market of material handling devices initiated. Hence, this paper examines the prevalence of robotics solutions in general and cable-robot applications in particular in the logistics industry.","","978-1-5386-4522-2","10.1109/SOLI.2018.8476760","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8476760","material handling;logistics;robotics;cable-driven parallel robots;storage;warehousing;picking","Logistics;Service robots;Industries;Warehousing;Pallets;Containers","","5","","72","IEEE","30 Sep 2018","","","IEEE","IEEE Conferences"
"Universal Accessibility Concept for Controlling Production Means in Manufacturing Systems","J. Siegert; L. Zarco; T. Schlegel","IFF, University of Stuttgart, IPA, Fraunhofer, Stuttgart, Germany; IFF, University of Stuttgart, Stuttgart, Germany; IFF, University of Stuttgart, IPA, Fraunhofer, Stuttgart, Germany","2020 IEEE International Conference on Industrial Technology (ICIT)","16 Apr 2020","2020","","","349","354","Production systems must be increasingly agile and flexible, and thus more complex in order to meet the current demands of the market regarding the integration of the client in the design and development of individualized products. In turn, the requirements of machine and worker expertise increase parallel to the complexity of production systems, limiting the inclusion of persons like elderly and disabled people, in flexible production processes. This paper describes a new paradigm in which the reliability and accuracy of production system control and configuration is achieved through a universal accessibility design avoiding the need of complicated and specific knowledge or training to perform determined tasks in a modular, adaptable, intuitive and recreational way.","2643-2978","978-1-7281-5754-2","10.1109/ICIT45562.2020.9067194","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9067194","Flexible manufacturing systems;human-machine collaboration;robot controlling;universal usability;inclusion","Production facilities;Task analysis;Production systems;Solid modeling;Complexity theory;Usability","","5","","18","IEEE","16 Apr 2020","","","IEEE","IEEE Conferences"
"A Survey on Yogic Posture Recognition","A. K. Rajendran; S. C. Sethuraman","Center of Excellence, Artificial Intelligence and Robotics (AIR), Vellore Institute of Technology-Andhra Pradesh (VIT-AP), Amaravathi, India; Center of Excellence, Artificial Intelligence and Robotics (AIR), Vellore Institute of Technology-Andhra Pradesh (VIT-AP), Amaravathi, India","IEEE Access","7 Feb 2023","2023","11","","11183","11223","Yoga has been a great form of physical activity and one of the promising applications in personal health care. Several studies prove that yoga is used as one of the physical treatments for cancer, musculoskeletal disorder, depression, Parkinson’s disease, and respiratory heart diseases. In yoga, the body should be mechanically aligned with some effort on the muscles, ligaments, and joints for optimal posture. Postural-based yoga increases flexibility, energy, overall brain activity and reduces stress, blood pressure, and back pain. Body Postural Alignment is a very important aspect while performing yogic asanas. Many yogic asanas including uttanasana, kurmasana, ustrasana, and dhanurasana, require bending forward or backward, and if the asanas are performed incorrectly, strain in the joints, ligaments, and backbone can result, which can cause problems with the hip joints. Hence it is vital to monitor the correct yoga poses while performing different asanas. Yoga posture prediction and automatic movement analysis are now possible because of advancements in computer vision algorithms and sensors. This research investigates a thorough analysis of yoga posture identification systems using computer vision, machine learning, and deep learning techniques.","2169-3536","","10.1109/ACCESS.2023.3240769","VIT-AP University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10032150","Yogic posture recognition;optimal posture;machine learning methods;deep learning methods","Injuries;Heart rate;Machine learning;Biomedical monitoring;Ligaments;COVID-19;Deep learning;Machine learning","","4","","188","CCBY","30 Jan 2023","","","IEEE","IEEE Journals"
"Industrial Smart Services: Types of Smart Service Business Models in the Digitalized Agriculture","A. Kampker; P. Jussen; B. Moser","FIR e.V. at RWTH Aachen University, Aachen, Germany; FIR e.V. at RWTH Aachen University, Aachen, Germany; FIR e.V. at RWTH Aachen University, Aachen, Germany","2018 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM)","13 Jan 2019","2018","","","1081","1085","Due to lack of experience of companies with digital business models, agricultural machinery manufacturers and agricultural service companies are facing a positioning problem in their ecosystem. Smart services are getting more important for these companies and they have issues to define a matching business model for their newly developed smart services. The lack of a framework for smart service business models makes it even harder for companies to successfully develop new services. This paper contributes to a better understanding of business models for smart services and establishes a common morphological framework to define different types of business models for smart services. Six types of business models of industrial smart services were identified during the research based, which was based on a literature review and interviews with leading experts in the field of smart services. The validation of the developed types and its practical application was carried out as part of the German research project Smart-Farming-World and its four developed use cases. This paper gives a detailed description of the application of the framework on the use case nPotato.","2157-362X","978-1-5386-6786-6","10.1109/IEEM.2018.8607270","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8607270","Industrial smart services;characteristics of smart service business models;types of business models of industrial smart services;smart farming","Biological system modeling;Object oriented modeling;Companies;Ecosystems;Data aggregation;Data analysis","","4","","24","IEEE","13 Jan 2019","","","IEEE","IEEE Conferences"
"Digital Twin-Assisted Controlling of AGVs in Flexible Manufacturing Environments","M. Azangoo; A. Taherkordi; J. O. Blech; V. Vyatkin","Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Department of Informatics, University of Oslo, Oslo, Norway; Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland","2021 IEEE 30th International Symposium on Industrial Electronics (ISIE)","1 Nov 2021","2021","","","1","7","Digital Twins are increasingly being introduced for smart manufacturing systems to improve the efficiency of the main disciplines of such systems. Formal techniques, such as graphs, are a common way of describing Digital Twin models, allowing broad types of tools to provide Digital Twin based services such as fault detection in production lines. Obtaining correct and complete formal Digital Twins of physical systems can be a complicated and time consuming process, particularly for manufacturing systems with plenty of physical objects and the associated manufacturing processes. Automatic generation of Digital Twins is an emerging research field and can reduce time and costs. In this paper, we focus on the generation of Digital Twins for flexible manufacturing systems with Automated Guided Vehicles (AGVs) on the factory floor. In particular, we propose an architectural framework and the associated design choices and software development tools that facilitate automatic generation of Digital Twins for AGVs. Specifically, the scope of the generated digital twins is controlling AGVs in the factory floor. To this end, we focus on different control levels of AGVs and utilize graph theory to generate the graph-based Digital Twin of the factory floor.","2163-5145","978-1-7281-9023-5","10.1109/ISIE45552.2021.9576361","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9576361","industry 4.0;agile manufacturing;AGV;digital twin;graph theory;multi-layer control","Manufacturing processes;Digital twin;Tools;Production facilities;Graph theory;Software;Path planning","","3","","21","IEEE","1 Nov 2021","","","IEEE","IEEE Conferences"
"Cloud Computing Architecture with Dockers for an Industrial Process","A. Riofrío; G. Caiza","Universidad Politécnica Salesiana, Quito, Ecuador; Universidad Politécnica Salesiana, Universidad Politecnica de Madrid, Quito, Ecuador","2021 International Conference on Engineering and Emerging Technologies (ICEET)","5 Jan 2022","2021","","","1","6","With the rise of the internet of things, research activities have turned to the study of Industrial Internet of Things, with the objective of improving productivity, energy efficiency, modern control systems, real-time monitoring and control from anywhere in the world with the adaptation of computer networks to industrial sensors and actuators. This document presents a cloud computing architecture focused in the control of an industrial process based on virtualized systems called dockers implemented in a Raspberry Pi, that enable reducing the migration cost to an intelligent industrial application while maintaining real-time communication requirements, low latency and security techniques for information technology. The experimental result shows certain advantages, such as the use of scalable platforms that save resources and that are compatible with any operating system, easy to install, manage and migrate. Moreover, the use of protocol message queuing telemetry transport allows the communication of the dockers with each station and the Ubuntu web server, obtaining a transmission time that oscillates between 6 ms and 8 ms, time that is appropriate for wireless industrial process control.","2409-2983","978-1-6654-2714-2","10.1109/ICEET53442.2021.9659760","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9659760","docker;cloud computing;IIoT;EMQX;Amazon AWS","Cloud computing;Actuators;Wireless sensor networks;Costs;Operating systems;Process control;Computer architecture","","3","","34","IEEE","5 Jan 2022","","","IEEE","IEEE Conferences"
"Engineering a Multi-agent Systems Approach for Realizing Collaborative Asset Administration Shells","L. Sakurada; P. Leitao; F. De La Prieta","Research Centre in Digitalization and Intelligent Robotics (CeDRI), Instituto Politécnico de Bragança, Campus de Santa Apolónia, Bragança, Portugal; Research Centre in Digitalization and Intelligent Robotics (CeDRI), Instituto Politécnico de Bragança, Campus de Santa Apolónia, Bragança, Portugal; BISITE Digital Innovation Hub, University of Salamanca, Edificio Multiusos I+D+i, Salamanca, Spain","2022 IEEE International Conference on Industrial Technology (ICIT)","5 Jan 2023","2022","","","1","6","In recent years, there has been a high demand for flexible and reconfigurable processes to meet the fast-changing market conditions. In this context, Industry 4.0 is promoting the digitization of traditional production systems towards intelligent factories with highly automated and rapidly adaptable capabilities based on Industrial Cyber-Physical Systems (ICPS). This digitization process is currently being leveraged by the so-called Asset Administration Shell (AAS), a standardized digital representation of an asset that provides the uniform access to the asset information. Additionally, the AASs offer the digital basis for future autonomous systems, where intelligent AASs may perform collaborative functions to enhance industrial processes. However, currently such solutions are still at an early stage of maturity. In this sense, this paper explores the adoption of a Multi-agent Systems (MAS) approach to provide the required intelligent and collaborative aspects for the traditional AAS. The proposed MAS-based AAS solution was applied in an industrial automation case study to analyze the feasibility of MAS to perform intelligent and collaborative functions in the AAS context.","","978-1-7281-1948-9","10.1109/ICIT48603.2022.10002770","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10002770","Asset Administration Shells;Industry 4.0;Industrial Cyber-Physical Systems;Multi-agent Systems","Production systems;Autonomous systems;Digital representation;Collaboration;Cyber-physical systems;Production facilities;Fourth Industrial Revolution","","3","","20","IEEE","5 Jan 2023","","","IEEE","IEEE Conferences"
"Fast mesh denoising with data driven normal filtering using deep autoencoders","S. Nousias; G. Arvanitis; A. S. Lalos; K. Moustakas","Department of Electrical & Computer Engineering, University of Patras, Greece; Department of Electrical & Computer Engineering, University of Patras, Greece; Industrial Systems Institute, Athena Research Center; Department of Electrical & Computer Engineering, University of Patras, Greece","2019 IEEE 17th International Conference on Industrial Informatics (INDIN)","30 Jan 2020","2019","1","","260","263","Through the years, several works have demonstrated high-quality 3D mesh denoising. Despite the high reconstruction quality, there are still challenges that need to be addressed ranging from variations in configuration parameters to high computational complexity. These drawbacks are crucial especially if the reconstructed models have to be used for quality check, inspection or repair in manufacturing environments where we have to deal with large objects resulting in very dense 3D meshes. Recently, deep learning techniques have shown that are able to automatically learn and find more accurate and reliable results, without the need for setting manually parameters. In this work, motivated by the aforementioned requirements, we propose a fast and reliable denoising method that can be effectively applied for reconstructing very dense noisy 3D models. The proposed method applies conditional variational autoencoders on face normals. Extensive evaluation studies carried out using a variety of 3D models verify that the proposed approach achieves plausible reconstruction outputs, very relative or even better of those proposed by the literature, in considerably faster execution times.","2378-363X","978-1-7281-2927-3","10.1109/INDIN41052.2019.8972221","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8972221","3D mesh denoising;data driven normal filtering;variational autoencoders.","","","3","","32","IEEE","30 Jan 2020","","","IEEE","IEEE Conferences"
"A High-Fidelity Simulation Platform for Industrial Manufacturing by Incorporating Robotic Dynamics Into an Industrial Simulation Tool","Z. Zhang; R. Dershan; A. M. S. Enayati; M. Yaghoubi; D. Richert; H. Najjaran","School of Engineering, The University of British Columbia, Kelowna, BC, Canada; School of Engineering, The University of British Columbia, Kelowna, BC, Canada; Faculty of Engineering and Computer Science, University of Victoria, Victoria, BC, Canada; Faculty of Engineering and Computer Science, University of Victoria, Victoria, BC, Canada; School of Engineering, The University of British Columbia, Kelowna, BC, Canada; Faculty of Engineering and Computer Science, University of Victoria, Victoria, BC, Canada","IEEE Robotics and Automation Letters","21 Jul 2022","2022","7","4","9123","9128","Simulation provides an efficient and safe evaluation solution for industrial automation to pretest software before deploying it in real systems. However, only high-fidelity simulation environments that precisely reconstruct the behavioral patterns of real systems can guarantee a successful transfer from simulation to reality (sim-to-real). Many existing industrial simulation tools provide libraries for various industrial devices, which simplify the development efforts significantly, but they generally lack the ability to model the system dynamics and often fail to generate a realistic representation when the system performance is sensitive to the modeling deviation. For example, robots equipped with intelligent algorithms potentially lead to task failure if the software is sensitive to the variation of the system dynamics. In this paper, we design a novel simulation platform for industrial manufacturing use cases consisting of a cooperative robot and a modular manufacturing device. With the dynamic model of the robot integrated into a manufacturing digital-twining software, the platform achieves high simulation fidelity by incorporating the effect of the robot dynamics to the control logic of the industrial tasks. Also, the simulation can exchange data with the real robot via an open protocol, which enables the simultaneous test of the real and simulated systems. Two experiments are conducted on the simulation platform to validate its fidelity in terms of the consistent control logic with the real system. Also, a workpiece distribution use case is studied to show how the simulation platform is used to develop a task-planning algorithm for a manufacturing application.","2377-3766","","10.1109/LRA.2022.3190096","Kinova Inc.; Natural Sciences and Engineering Research Council of Canada(grant numbers:543881-19); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9827559","Simulation and animation;software tools for robot programming;software-hardware integration for robot systems;robot simulation;industrial software","Robots;Service robots;Task analysis;Robot sensing systems;Robot kinematics;Manufacturing;Matlab","","3","","24","IEEE","12 Jul 2022","","","IEEE","IEEE Journals"
"Improved Binarization Using Morphology-driven Image Resizing and Decomposition","C. -T. Lin; J. -H. Wang; C. -S. Tseng; S. -C. Tsai; C. -W. Lin; R. -J. Huang","Department of Elec. Eng., National Taiwan Ocean University, Keelung, Taiwan; Department of Elec. Eng., National Taiwan Ocean University, Keelung, Taiwan; Ship and Ocean Industries, Center (SOIC), New Taipei City, Taiwan; Department of Elec. Eng., National Taiwan Ocean University, Keelung, Taiwan; Department of Elec. Eng., National Taiwan Ocean University, Keelung, Taiwan; Department of Elec. Eng., National Taiwan Ocean University, Keelung, Taiwan","2019 IEEE 11th International Workshop on Computational Intelligence and Applications (IWCIA)","13 Jan 2020","2019","","","27","33","This paper presents a novel binarization algorithm for stained decipherable patterns. First, the input image is downsized, of which the reduction ratio is determined by iteratively applying binary morphological Closing operation. Such morphology-driven image downsizing not only saves the computation time of subsequent processes, but the key features necessary for the successful decoding is preserved. Then, high or low contrast areas are decomposed by applying the grayscale morphological Closing and Opening operators to the downsized image, and subtracting the two resulting output images from each other. If necessary, these areas are further subjected to decomposition to obtain finer separation of high and low regions. Having done the preprocessing, two approaches are proposed to do the binarization: (1) GMM is used to estimate a binarization threshold for each region (2) the binarization problem is treated as an image-translation task and hence a deep learning approach based on the conditional generative adversarial network (cGAN) is trained using the high or low contrast areas as conditional inputs. Our method solves the difficulty of choosing a proper preset sampling mask in conventional adaptive thresholding methods. Extensive experimental results show that the binarization algorithm can efficiently improve the decipher success rate over the other methods.","1883-3977","978-1-7281-2429-2","10.1109/IWCIA47330.2019.8955018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8955018","morphology;binarization;image downsizing;gaussian mixture model;deep learning;cGAN","Gray-scale;Mobile handsets;Oceans;Feature extraction;Task analysis;Shape;Morphology","","2","","10","IEEE","13 Jan 2020","","","IEEE","IEEE Conferences"
"Security X-ray Screening with Modulated-Energy Pulses","A. Arodzero; S. Boucher; P. Burstein; S. V. Kutsaev; R. C. Lanza; V. Palermo","RadiaBeam Technologies, LLC, Santa Monica, CA, USA; RadiaBeam Technologies, LLC, Santa Monica, CA, USA; RadiaBeam Technologies, LLC, Santa Monica, CA, USA; RadiaBeam Technologies, LLC, Santa Monica, CA, USA; MassachusettsInstitute of Technology, Cambridge, MA, USA; Vertilon Corporation, Westford, MA, USA","2019 IEEE International Symposium on Technologies for Homeland Security (HST)","12 Mar 2020","2019","","","1","6","This paper provides a brief overview of new screening methods that employ Modulated-Energy X-ray Pulses (MEXP) to provide a number of near-simultaneous multi-energy measurements in transmission-, backscatter-, and Computed Tomography (CT) security systems. In transmission X-ray cargo screening, these multi-energy measurements improve material discrimination, maximize penetration, and enhance contrast resolution while simultaneously reducing inspection time and dose to the environment, thus resulting in a smaller exclusion zone. In backscatter systems, the use of this method will increase penetration and improve image quality of concealed objects located deeper below the surface. Specifically, different depths within an object can be probed simultaneously. In CT, our MEXP approach mitigates the main disadvantages of the conventional dual-energy technique: a) distortion of image of the boundaries between regions with large difference in density; b) limited range of object thickness where material decomposition is valid; c) ambiguity and artifacts caused by sampling different regions due to motion of the object between interlaced pulses with distinct energies. Results of testing of the prototype of high speed Adaptive, Multi-Energy Cargo Inspection System (AMEXIS) will be presented. Progress in the development of MEXP-based backscatter inspection system, and systems for cargo screening with Adaptive CT will also be shown.","","978-1-7281-5092-5","10.1109/HST47167.2019.9032928","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9032928","Cargo screening;Cargo Inspection;Contraband detection;X-ray radiography;X-ray backscatter;Computed Tomography","X-ray imaging;Detectors;Linear particle accelerator;Backscatter;Computed tomography;Inspection;Adaptive systems","","2","","19","IEEE","12 Mar 2020","","","IEEE","IEEE Conferences"
"Analyzing the United Arab Emirates Manufacturing Sector and its Readiness for Industry 4.0","S. A. Bahlooq; M. A. Omar; T. Mezher","Industrial and Systems Engineering, Khalifa University, Abu Dhabi, UAE; Industrial and Systems Engineering, Khalifa University, Abu Dhabi, UAE; Industrial and Systems Engineering, Khalifa University, Abu Dhabi, UAE","2020 IEEE International Conference on Technology Management, Operations and Decisions (ICTMOD)","18 Mar 2021","2020","","","1","8","With the emergence of Industry 4.0 technologies, the manufacturing sector will need to adjust its structure, process and products to satisfy the requirements of this transformation. The manufacturing sector in the UAE plays an imperative part in its economic diversification efforts and the pursuit of sustainable economic growth and the government enacted many strategies to support the growth of this sector. This research proposes a framework for evaluating the readiness of the manufacturing sector for Industry 4.0 through a survey questionnaire. Preliminary results show that there is lack of knowledge about Industry 4.0 in general, and specifically when it comes to the potential benefits and expected changes brought by the transformation. The main driver behind implementing Industry 4.0 concept are pressure from rivals and market requirements. Also, certain level of Industry 4.0 technologies exists with the potential to increase the level of adoption. Moreover, there is a gap in the skillset needed for Industry 4.0 and no plans initiated to close this gap. Finally, surveyed companies are still developing their Industry 4.0 strategy and organization culture plays an important role in driving digital transformation.","2159-5119","978-1-7281-5950-8","10.1109/ICTMOD49425.2020.9380611","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9380611","Industry 4.0;UAE;Manufacturing sector;Frond-end technologies;Base technologies;Collaboration;Readiness","Industries;Economics;Technology management;Digital transformation;Government;Production planning;Companies","","2","","21","IEEE","18 Mar 2021","","","IEEE","IEEE Conferences"
