Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"D Marasová, P Koščák, N Staricna…","Digitization of air transport using smart tires",2020,"2020 New Trends in …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9379074/","https://scholar.google.com/scholar?cites=4296642577185638689&as_sdt=2005&sciodt=2007&hl=en",19,"2023-12-28 21:36:16","","","","",,,,,3,1.00,1,4,3,"… of hot vulcanization of conveyor belts, especially when splicing (as well … conveyor belts. The output of the article is the verification of the use of heat resistant RFID tags in conveyor belts. …","","https://scholar.google.com/scholar?q=related:IQn4y6i9oDsJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
2,"R Tong, T Sui, L Feng, L Lin","The digitization work of cement plant in China",2023,"Cement and Concrete Research","Elsevier","https://www.sciencedirect.com/science/article/pii/S0008884623001801","https://scholar.google.com/scholar?cites=15956614547871066439&as_sdt=2005&sciodt=2007&hl=en",20,"2023-12-28 21:36:16","","","","",,,,,2,2.00,1,4,1,"… The sample carrier pneumatic conveying system and bulk material conveying system are … and X-ray diffraction (XRD) by the conveyor belt in a fully automatic way for real-time analysis …","",""
2,"H Engledow, S De Smedt, Q Groom…","Managing a mass digitization project at Meise Botanic Garden: From start to finish",2018,"Biodiversity …","search.proquest.com","https://search.proquest.com/openview/e5336d1aeea63ffd09a69df7892ffd84/1?pq-origsite=gscholar&cbl=2049297","https://scholar.google.com/scholar?cites=11512217586696608992&as_sdt=2005&sciodt=2007&hl=en",21,"2023-12-28 21:36:16","","","","",,,,,2,0.40,1,4,5,"… digitize specimens five to ten times faster while also improving their quality. The mass digitization … , who started imaging in May 2016 using a conveyor belt installation. Prior to starting, a …","","https://scholar.google.com/scholar?q=related:4FwOmOacw58J:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
3,"N Iriondo, D Orive, O Casquero, M Marcos","A proposal to introduce digitalization technologies within the automation learning process",2020,"IFAC-PapersOnLine","Elsevier","https://www.sciencedirect.com/science/article/pii/S2405896320334352","https://scholar.google.com/scholar?cites=1205736704312723249&as_sdt=2005&sciodt=2007&hl=en",22,"2023-12-28 21:36:16","","","","",,,,,3,1.00,1,4,3,"… 2 shows a conveyor belt through which the part arrives, while a second conveyor belt moves the operated part to the output. Both conveyor belts are made of rollers and driven by motors…","","https://scholar.google.com/scholar?q=related:Mcc18SSjuxAJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
1,"P Janicki","Conveyor belt assembly including an imaging system and systems and methods using the same",2018,"US Patent 10,005,620","Google Patents","https://patents.google.com/patent/US10005620B2/en","https://scholar.google.com/scholar?cites=2768106292811958358&as_sdt=2005&sciodt=2007&hl=en",23,"2023-12-28 21:36:16","","","","",,,,,1,0.20,1,1,5,"… an improved conveyor belt assembly for facilitating improved automated handling of a plurality of packages. The improved conveyor belt assembly comprises a conveyor belt comprising…","https://patentimages.storage.googleapis.com/d3/32/2e/c0436bd3d96ac8/US10005620.pdf","https://scholar.google.com/scholar?q=related:VoiU2wFKaiYJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
3,"M Hereld, N Ferrier","LightningBug ONE: An experiment in high-throughput digitization of pinned insects",2019,"Biodiversity Information Science and …","biss.pensoft.net","https://biss.pensoft.net/article/37228/download/pdf/","https://scholar.google.com/scholar?cites=15544124416925115211&as_sdt=2005&sciodt=2007&hl=en",24,"2023-12-28 21:36:16","PDF","","","",,,,,3,0.75,2,2,4,"… The station is meant to be fed with specimens by a conveyor belt whose motion is … a conventional conveyor belt we are able to provide a continuous stream of targets for the digitization …","https://biss.pensoft.net/article/37228/download/pdf/","https://scholar.google.com/scholar?q=related:SyNMB83St9cJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
6,"G Oliver, P Gil, F Torres","Robotic workcell for sole grasping in footwear manufacturing",2020,"2020 25th IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9212058/","https://scholar.google.com/scholar?cites=2229316836132209944&as_sdt=2005&sciodt=2007&hl=en",25,"2023-12-28 21:36:16","","","","",,,,,6,2.00,2,3,3,"… digitization of a wide variety of footwear, glue dispensing and sole grasping from conveyor belts… This cell is made up of a manipulator arm endowed with a gripper, a conveyor belt and a …","https://ieeexplore.ieee.org/iel7/9210104/9211869/09212058.pdf","https://scholar.google.com/scholar?q=related:GEV13dkf8B4J:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
7,"KC Hall, JJ Hurley, JF Grubb, JDD Hartnagle…","Multi-sheet handling for document digitization",2022,"US Patent …","Google Patents","https://patents.google.com/patent/US11339019B2/en","https://scholar.google.com/scholar?cites=8312019803834807642&as_sdt=2005&sciodt=2007&hl=en",26,"2023-12-28 21:36:16","","","","",,,,,7,7.00,1,5,1,"… The sheets may be separated and loaded onto the conveyor belt. The separation and/or loading onto the conveyor belt may occur in an automated fashion. The conveyor belt may …","https://patentimages.storage.googleapis.com/ee/85/b9/8eea8df43ef3fc/US11339019.pdf","https://scholar.google.com/scholar?q=related:WvWV_fg5WnMJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
1,"J Feng, D Daeschel, D Dooley, E Griffiths, M Allard…","A schema for digitized surface swab site metadata in open-source DNA sequence databases",2023,"Msystems","Am Soc Microbiol","https://journals.asm.org/doi/abs/10.1128/msystems.01284-22","https://scholar.google.com/scholar?cites=1906442831798607370&as_sdt=2005&sciodt=2007&hl=en",27,"2023-12-28 21:36:16","","10.1128/msystems.01284-22","","",,,,,1,1.00,0,6,1,"… We have used a conveyor belt as an illustrative example in this article because it is a … this structure as a “conveyor”, “conveyor system”, “processing line”, “conveyor belt”, “belt”, or simply …","https://journals.asm.org/doi/full/10.1128/msystems.01284-22","https://scholar.google.com/scholar?q=related:Ch7ynacLdRoJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
1,"D Mendes, PD Gaspar, F Charrua-Santos, H Navas","Integrating TPM and Industry 4.0 to Increase the Availability of Industrial Assets: A Case Study on a Conveyor Belt",2023,"Processes","mdpi.com","https://www.mdpi.com/2227-9717/11/7/1956","https://scholar.google.com/scholar?cites=829959151553295611&as_sdt=2005&sciodt=2007&hl=en",28,"2023-12-28 21:36:16","HTML","","","",,,,,1,1.00,0,4,1,"… on a conveyor belt in a feed mill. The availability of the conveyor belt was around 89.5% … in the maintenance plan for the conveyor belt. Operators were trained to effortlessly comply …","https://www.mdpi.com/2227-9717/11/7/1956",""
1,"N Abou Baker, J Stehr…","E-Waste Recycling Gets Smarter with Digitalization",2023,"2023 IEEE Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10129536/","https://scholar.google.com/scholar?cites=6529702782041996203&as_sdt=2005&sciodt=2007&hl=en",29,"2023-12-28 21:36:16","","","","",,,,,1,1.00,0,3,1,"… Digitization appears to be the best solution to automate the … recycling on a conveyor belt with minimal human interaction. … be recycled is placed on the conveyor belt. It is then passed to a …","","https://scholar.google.com/scholar?q=related:qzt-nBUqnloJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
5,"K Židek, V Hladký, J Pitel', J Demčák…","SMART production system with full digitalization for assembly and inspection in concept of industry 4.0",2021,"… Conference on Future …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-78459-1_13","https://scholar.google.com/scholar?cites=5244911815492851011&as_sdt=2005&sciodt=2007&hl=en",30,"2023-12-28 21:36:16","","10.1007/978-3-030-78459-1_13","","",,,,,5,2.50,1,5,2,"… conveyor belt. It was used two RFID readers with two external antennas. The fixtures can be identified in four places before every production operation during movement in conveyor belt…","","https://scholar.google.com/scholar?q=related:Q1Wz6IGryUgJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
13,"P Santos, M Ritz, C Fuhrmann, R Monroy…","Acceleration of 3D Mass Digitization Processes: Recent Advances and Challenges",2017,"Mixed Reality and …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-49607-8_4","https://scholar.google.com/scholar?cites=7257654114385249268&as_sdt=2005&sciodt=2007&hl=en",31,"2023-12-28 21:36:16","","10.1007/978-3-319-49607-8_4","","",,,,,13,2.17,3,5,6,"… 2D digitization. Focused on digital photography, its automated conveyor belt setup successfully … and research complex, launched its Mass Digitization Program in order to support its 19 …","","https://scholar.google.com/scholar?q=related:9MOV3vZduGQJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
0,"N Iriondo Urbistazu, D Orive Revillas…","A proposal to introduce digitalization technologies within the automation learning process",2020,"","addi.ehu.es","https://addi.ehu.es/handle/10810/52559","",32,"2023-12-28 21:36:16","","","","",,,,,0,0.00,0,3,3,"… 2 shows a conveyor belt through which the part arrives, while a second conveyor belt moves the operated part to the output. Both conveyor belts are made of rollers and driven by motors…","https://addi.ehu.es/bitstream/handle/10810/52559/1-s2.0-S2405896320334352-main.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:cnn2u50sJKEJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
19,"A Happonen, D Minashkina","Operations automatization and digitalization–a research and innovation collaboration in physical warehousing, improvement ideas in AS/RS and 3PL logistics …",2019,"","lutpub.lut.fi","https://lutpub.lut.fi/bitstream/handle/10024/162038/operations_automatization__report_2019.pdf","https://scholar.google.com/scholar?cites=16002220463511234634&as_sdt=2005&sciodt=2007&hl=en",33,"2023-12-28 21:36:16","PDF","","","",,,,,19,4.75,10,2,4,"… within project collaboration in logistics operations digitalization and automatization context with the … issues • picking robot and its installation suggestions • conveyor belts improvements …","https://lutpub.lut.fi/bitstream/handle/10024/162038/operations_automatization__report_2019.pdf","https://scholar.google.com/scholar?q=related:SugSabpOE94J:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
0,"M Wengle, K Dalm, R Sahuji","Implementation of a Prototype Production Line based on concept of Industrial Digitalization in an existing Learning Factory environment",2023,"Available at SSRN 4456952","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4456952","",34,"2023-12-28 21:36:16","","","","",,,,,0,0.00,0,3,1,"… At station 2, a KUKA LBR iiwa 7 R800 is deployed to pick the products from the carrier cart and place it onto a conveyor belt system. The collaborative robot from KUKA is programmed …","","https://scholar.google.com/scholar?q=related:O-w2LPrSdxkJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
9,"BLA Seguin, L Costiner, I Di Lenardo…","New techniques for the digitization of art historical photographic archives-the case of the cini foundation in venice",2018,"Archiving …","infoscience.epfl.ch","https://infoscience.epfl.ch/record/288447","https://scholar.google.com/scholar?cites=11237293848992219397&as_sdt=2005&sciodt=2007&hl=en",35,"2023-12-28 21:36:16","","","","",,,,,9,1.80,2,4,5,"… these collections pose special challenges for digitization. This paper address these difficulties by proposing new techniques developed for the digitization of the photographic archive of …","https://infoscience.epfl.ch/record/288447/files/Archiving2018.pdf","https://scholar.google.com/scholar?q=related:BQHdyTfj8psJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
99,"M Vanderroost, P Ragaert, J Verwaeren…","The digitization of a food package's life cycle: Existing and emerging computer systems in the logistics and post-logistics phase",2017,"Computers in …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0166361517300313","https://scholar.google.com/scholar?cites=16865320641068373327&as_sdt=2005&sciodt=2007&hl=en",36,"2023-12-28 21:36:16","HTML","","","",,,,,99,16.50,25,4,6,"… ) is spread out in a single layer on a conveyor belt that travels under a light source. Part of … corresponding pieces of material on the conveyor belt. Subsequently, the computer systems …","https://www.sciencedirect.com/science/article/pii/S0166361517300313","https://scholar.google.com/scholar?q=related:T5XxScSnDeoJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
0,"SM Carrión","Digitalization and Optimization of a Production Flow",2021,"","lup.lub.lu.se","https://lup.lub.lu.se/student-papers/record/9069058/file/9069059.pdf","",37,"2023-12-28 21:36:16","PDF","","","",,,,,0,0.00,0,1,2,"… This tool is not of interest in this project since almost the whole layout of the plant is automated and the transportation of goods is done using conveyor belts. Finally, the Experiment …","https://lup.lub.lu.se/student-papers/record/9069058/file/9069059.pdf","https://scholar.google.com/scholar?q=related:Z4lhjxOobbMJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
0,"Y Fetyukova, R Tegelberg, J Karppinen…","INDUSTRIAL METHODS FOR LARGE SCALE DIGITIZATION OF BIOLOGICAL COLLECTIONS IN FINLAND",2017,"Международная …","elibrary.ru","https://elibrary.ru/item.asp?id=29029587","",38,"2023-12-28 21:36:16","","","","",,,,,0,0.00,0,4,6,"… digitization centre for natural history in Finland, Digitarium, was established in 2010 in Joensuu Science Park with the mission to speed up the digitization … Conveyor belt driven systems …","","https://scholar.google.com/scholar?q=related:Rm8Py9COg-cJ:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
0,"T Aguiar","Transnationalization and Digitalization of Mining in the Amazon",2020,"Socioscapes. International Journal of Societies, Politics …","socioscapes.org","http://www.socioscapes.org/index.php/sc/article/view/75","",39,"2023-12-28 21:36:16","","","","",,,,,0,0.00,0,1,3,"… In Vale’s case, using only conveyor belts in the Carajás S11D iron ore operation (...). This is an attractive and necessary path given the new price levels and, consequently, the …","http://www.socioscapes.org/index.php/sc/article/download/75/49","https://scholar.google.com/scholar?q=related:R2uoOy-xkz8J:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
7,"S Gupta, P Gupta","Digitization for reliable and efficient manufacturing",2018,"Life Cycle Reliability and Safety Engineering","Springer","https://link.springer.com/article/10.1007/s41872-018-0051-y","https://scholar.google.com/scholar?cites=5667982125080658156&as_sdt=2005&sciodt=2007&hl=en",40,"2023-12-28 21:36:16","HTML","10.1007/s41872-018-0051-y","","",,,,,7,1.40,4,2,5,"… Similarly, in a continuous process plant, if the conveyor belts are operating without being loaded, they can be conveniently switched off and re-started on being loaded for effective …","https://link.springer.com/article/10.1007/s41872-018-0051-y","https://scholar.google.com/scholar?q=related:7ECyZra3qE4J:scholar.google.com/&scioq=digitization+of+conveyor+belts&hl=en&as_sdt=2007&as_ylo=2017&as_yhi=2023"
