Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"The Digitization of Quality Control Operations with Cloud Platform Computing Technologies","Industry 4.0 for SMEs","","","","10.1007/978-3-030-25425-4_11","Kamil ŽidekVladimír ModrákJán PitelZuzana Šoltysová","2020","http://link.springer.com/chapter/10.1007/978-3-030-25425-4_11","Chapter"
"Sustainable Smart Mining: Safe, Economical, Environmental Friendly, Digital","Yearbook of Sustainable Smart Mining and Energy 2021","","","","10.1007/978-3-030-84315-1_4","Peter v. Hartlieb-WallthorRoland HeckenSebastian-F. KowitzMichael SuciuManfred Ziegler","2022","http://link.springer.com/chapter/10.1007/978-3-030-84315-1_4","Chapter"
"Integrated Computer Technologies in Mechanical Engineering - 2022","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-36201-9","Mykola NechyporukVladimir PavlikovDmitriy Kritskiy","2023","http://link.springer.com/book/10.1007/978-3-031-36201-9","Book"
"New Technologies, Development and Application VI","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-31066-9","Isak KarabegovicAhmed KovačevićSadko Mandzuka","2023","http://link.springer.com/book/10.1007/978-3-031-31066-9","Book"
"Integrated Computer Technologies in Mechanical Engineering - 2021","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-94259-5","Prof. Mykola NechyporukVladimir PavlikovDmitriy Kritskiy","2022","http://link.springer.com/book/10.1007/978-3-030-94259-5","Book"
"Innovations in Mechatronics Engineering","Lecture Notes in Mechanical Engineering","","","","10.1007/978-3-030-79168-1","José MachadoDr. Filomena SoaresDr. Justyna TrojanowskaProf. Dr. Sahin Yildirim","2022","http://link.springer.com/book/10.1007/978-3-030-79168-1","Book"
"Project Management in Logistics and Supply Chain Management","Springer Series in Supply Chain Management","","","","10.1007/978-3-658-35882-2","Dirk H. Hartel","2022","http://link.springer.com/book/10.1007/978-3-658-35882-2","Book"
"Towards Sustainable Customization: Bridging Smart Products and Manufacturing Systems","Lecture Notes in Mechanical Engineering","","","","10.1007/978-3-030-90700-6","Assist. Prof. Ann-Louise AndersenDr. Rasmus AndersenAssoc. Prof. Thomas Ditlev BrunoeDr. Maria Stoettrup Schioenning LarsenAssoc. Prof. Kjeld NielsenDr. Alessia NapoleoneDr. Stefan Kjeldgaard","2022","http://link.springer.com/book/10.1007/978-3-030-90700-6","Book"
"Lean Management","","","","","10.1007/978-3-658-36087-0","Frank Bertagnolli","2022","http://link.springer.com/book/10.1007/978-3-658-36087-0","Book"
"Acceleration of 3D Mass Digitization Processes: Recent Advances and Challenges","Mixed Reality and Gamification for Cultural Heritage","","","","10.1007/978-3-319-49607-8_4","Pedro SantosMartin RitzConstanze FuhrmannRafael MonroyHendrik SchmedtReimar TauschMatevz DomajnkoMartin KnuthDieter Fellner","2017","http://link.springer.com/chapter/10.1007/978-3-319-49607-8_4","Chapter"
"Design in the Era of Industry 4.0, Volume 2","Smart Innovation, Systems and Technologies","","","","10.1007/978-981-99-0264-4","Amaresh ChakrabartiVishal Singh","2023","http://link.springer.com/book/10.1007/978-981-99-0264-4","Book"
"CIRP Encyclopedia of Production Engineering","","","","","10.1007/978-3-662-53120-4","Sami ChattiLuc LaperrièreGunther ReinhartTullio Tolio","2019","http://link.springer.com/referencework/10.1007/978-3-662-53120-4","ReferenceWork"
"Informatics and Cybernetics in Intelligent Systems","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-77448-6","Dr. Radek Silhavy","2021","http://link.springer.com/book/10.1007/978-3-030-77448-6","Book"
"Advanced Manufacturing and Automation XII","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-9338-1","Yi WangTao YuKesheng Wang","2023","http://link.springer.com/book/10.1007/978-981-19-9338-1","Book"
"Production at the Leading Edge of Technology","Lecture Notes in Production Engineering","","","","10.1007/978-3-031-18318-8","Mathias LiewaldAlexander VerlThomas BauernhanslHans-Christian Möhring","2023","http://link.springer.com/book/10.1007/978-3-031-18318-8","Book"
"New Technologies, Development and Application V","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-05230-9","Isak KarabegovićProf. Ahmed KovačevićSadko Mandžuka","2022","http://link.springer.com/book/10.1007/978-3-031-05230-9","Book"
"Multifunctional Lightweight Structures","","","","","10.1007/978-3-662-62217-9","Lothar Kroll","2023","http://link.springer.com/book/10.1007/978-3-662-62217-9","Book"
"XV International Scientific Conference “INTERAGROMASH 2022”","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-21219-2","Alexey BeskopylnyMark ShamtsyanViktor Artiukh","2023","http://link.springer.com/book/10.1007/978-3-031-21219-2","Book"
"Database and Expert Systems Applications - DEXA 2022 Workshops","Communications in Computer and Information Science","","","","10.1007/978-3-031-14343-4","Prof. Dr. Gabriele KotsisA Min TjoaIsmail KhalilDr. Bernhard MoserProf. Dr. Alfred TaudesAtif MashkoorJohannes SametingerJorge Martinez-GilFlorian SobieczkyLukas FischerRudolf RamlerMaqbool KhanGerald Czech","2022","http://link.springer.com/book/10.1007/978-3-031-14343-4","Book"
"Shield Tunneling Technology in Hard-Soft Uneven Stratum and Extremely-Soft Stratum","Key Technologies for Tunnel Construction under Complex Geological and Environmental Conditions","","","","10.1007/978-981-16-1383-8","Prof. Kairong Hong","2021","http://link.springer.com/book/10.1007/978-981-16-1383-8","Book"
"Handbook Industry 4.0","","","","","10.1007/978-3-662-64448-5","Walter Frenz","2022","http://link.springer.com/book/10.1007/978-3-662-64448-5","Book"
"The Proceedings of the 17th Annual Conference of China Electrotechnical Society","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-99-0408-2","Kaigui XieJianlin HuQingxin YangJian Li","2023","http://link.springer.com/book/10.1007/978-981-99-0408-2","Book"
"Encyclopedia of Astrobiology","","","","","10.1007/978-3-662-65093-6","Muriel GargaudWilliam M. IrvineRicardo AmilsPhilippe ClaeysHenderson James CleavesMaryvonne GerinDaniel RouanTilman SpohnStéphane TirardMichel Viso","2023","http://link.springer.com/referencework/10.1007/978-3-662-65093-6","ReferenceWork"
"Smart, Sustainable Manufacturing in an Ever-Changing World","Lecture Notes in Production Engineering","","","","10.1007/978-3-031-15602-1","Konrad von LeipzigNatasha SacksMichelle Mc Clelland","2023","http://link.springer.com/book/10.1007/978-3-031-15602-1","Book"
"Proceedings of the 7th International Conference on Industrial Engineering (ICIE 2021)","Lecture Notes in Mechanical Engineering","","","","10.1007/978-3-030-85230-6","Prof. Andrey A. RadionovProf. Vadim R. Gasiyarov","2022","http://link.springer.com/book/10.1007/978-3-030-85230-6","Book"
"Artificial Intelligence and Online Engineering","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-17091-1","Michael E. AuerSamir A. El-SeoudOmar H. Karam","2023","http://link.springer.com/book/10.1007/978-3-031-17091-1","Book"
"Encyclopedia of Coastal Science","Encyclopedia of Earth Sciences Series","","","","10.1007/978-3-319-93806-6","Charles W. FinklChristopher Makowski","2019","http://link.springer.com/referencework/10.1007/978-3-319-93806-6","ReferenceWork"
"Manufacturing Driving Circular Economy","Lecture Notes in Mechanical Engineering","","","","10.1007/978-3-031-28839-5","Holger KohlGünther SeligerFranz Dietrich","2023","http://link.springer.com/book/10.1007/978-3-031-28839-5","Book"
"Data Science for Entrepreneurship","Classroom Companion: Business","","","","10.1007/978-3-031-19554-9","Werner LiebregtsWillem-Jan van den HeuvelArjan van den Born","2023","http://link.springer.com/book/10.1007/978-3-031-19554-9","Book"
"Artificial Intelligence Trends in Systems","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-09076-9","Prof. Radek Silhavy","2022","http://link.springer.com/book/10.1007/978-3-031-09076-9","Book"
"The Monetization of Technical Data","","","","","10.1007/978-3-662-66509-1","Daniel TrauthThomas BergsWolfgang Prinz","2023","http://link.springer.com/book/10.1007/978-3-662-66509-1","Book"
"Digital Supply Chain and Logistics with IoT","Management for Professionals","","","","10.1007/978-3-030-89408-5","Andreas Holtschulte","2022","http://link.springer.com/book/10.1007/978-3-030-89408-5","Book"
"EAI International Conference on Automation and Control in Theory and Practice","EAI/Springer Innovations in Communication and Computing","","","","10.1007/978-3-031-31967-9","Michal BalogAngelina IakovetsStella Hrehova","2023","http://link.springer.com/book/10.1007/978-3-031-31967-9","Book"
"AIIA 2022: Biosystems Engineering Towards the Green Deal","Lecture Notes in Civil Engineering","","","","10.1007/978-3-031-30329-6","Vito FerroGiuseppe GiordanoSanto OrlandoMariangela ValloneGiovanni CasconeSimona M. C. Porto","2023","http://link.springer.com/book/10.1007/978-3-031-30329-6","Book"
"Proceedings of the International Field Exploration and Development Conference 2021","Springer Series in Geomechanics and Geoengineering","","","","10.1007/978-981-19-2149-0","Jia'en Lin","2022","http://link.springer.com/book/10.1007/978-981-19-2149-0","Book"
"The 8th International Conference on Advanced Machine Learning and Technologies and Applications (AMLTA2022)","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-3-031-03918-8","Prof. Aboul Ella HassanienProf. Rawya Y. RizkVáclav SnášelProf. Rehab F. Abdel-Kader","2022","http://link.springer.com/book/10.1007/978-3-031-03918-8","Book"
"Software Engineering Research in System Science","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-35311-6","Radek SilhavyPetr Silhavy","2023","http://link.springer.com/book/10.1007/978-3-031-35311-6","Book"
"Empowering a Cyber-Physical System for a Modular Conveyor System with Self-organization","Service Orientation in Holonic and Multi-Agent Manufacturing","","","","10.1007/978-3-319-73751-5_12","José BarbosaPaulo LeitãoJoy Teixeira","2018","http://link.springer.com/chapter/10.1007/978-3-319-73751-5_12","Chapter"
"The Geology of the Arabian-Nubian Shield","Regional Geology Reviews","","","","10.1007/978-3-030-72995-0","Prof. Dr. Zakaria HamimiDr. Abdel-Rahman FowlerProf. Dr. Jean-Paul LiégeoisProf. Dr. Alan CollinsProf. Dr. Mohamed G. AbdelsalamProf. Dr. Mohamed Abd EI-Wahed","2021","http://link.springer.com/book/10.1007/978-3-030-72995-0","Book"
"Industrial Engineering and Operations Management","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-3-031-47058-5","João Carlos Gonçalves dos ReisFrancisco Gaudêncio Mendonça FreiresMilton Vieira Junior","2023","http://link.springer.com/book/10.1007/978-3-031-47058-5","Book"
"Domain-Specific Conceptual Modeling","","","","","10.1007/978-3-030-93547-4","Prof. Dr. Dimitris KaragiannisProf. Moonkun LeeProf. Dr. Knut HinkelmannDr. Wilfrid Utz","2022","http://link.springer.com/book/10.1007/978-3-030-93547-4","Book"
"Proceedings of the 27th International Symposium on Advancement of Construction Management and Real Estate","Lecture Notes in Operations Research","","","","10.1007/978-981-99-3626-7","Jing LiWeisheng LuYi PengHongping YuanDaikun Wang","2023","http://link.springer.com/book/10.1007/978-981-99-3626-7","Book"
"Encyclopedia of Solid Earth Geophysics","Encyclopedia of Earth Sciences Series","","","","10.1007/978-3-030-58631-7","Harsh K. Gupta","2021","http://link.springer.com/referencework/10.1007/978-3-030-58631-7","ReferenceWork"
"Information Technologies and Intelligent Decision Making Systems","Communications in Computer and Information Science","","","","10.1007/978-3-031-31353-0","Arthur Gibadullin","2023","http://link.springer.com/book/10.1007/978-3-031-31353-0","Book"
"How Digital Intelligence Drives Business Growth","Management for Professionals","","","","10.1007/978-981-99-4299-2","Zhizhuan Business Research Institute","2023","http://link.springer.com/book/10.1007/978-981-99-4299-2","Book"
"Energy Efficiency in Motor Systems","Springer Proceedings in Energy","","","","10.1007/978-3-030-69799-0","Dr. Paolo Bertoldi","2021","http://link.springer.com/book/10.1007/978-3-030-69799-0","Book"
"Techno-Societal 2020","","","","","10.1007/978-3-030-69925-3","Dr. Prashant M. PawarDr. R. BalasubramaniamDr. Babruvahan P. RongeDr. Santosh B. SalunkheDr. Anup S. VibhuteDr. Bhuwaneshwari Melinamath","2021","http://link.springer.com/book/10.1007/978-3-030-69925-3","Book"
"Towards Industry 5.0","Lecture Notes in Mechanical Engineering","","","","10.1007/978-3-031-24457-5","Numan M. DurakbasaM. Güneş Gençyılmaz","2023","http://link.springer.com/book/10.1007/978-3-031-24457-5","Book"
"Proceedings of the 7th Brazilian Technology Symposium (BTSym’21)","Smart Innovation, Systems and Technologies","","","","10.1007/978-3-031-08545-1","Prof. Dr. Yuzo IanoProf. Osamu SaotomeProf. Guillermo Leopoldo Kemper VásquezProf. Dr. Claudia Cotrim PezzutoProf. Dr. Rangel ArthurProf. Gabriel Gomes de Oliveira","2022","http://link.springer.com/book/10.1007/978-3-031-08545-1","Book"
"Global Encyclopedia of Public Administration, Public Policy, and Governance","","","","","10.1007/978-3-030-66252-3","Ali Farazmand","2022","http://link.springer.com/referencework/10.1007/978-3-030-66252-3","ReferenceWork"
"3D Digitization of Cultural Heritage","3D Imaging, Analysis and Applications","","","","10.1007/978-3-030-44070-1_13","Gabriele GuidiBernard D. Frischer","2020","http://link.springer.com/chapter/10.1007/978-3-030-44070-1_13","Chapter"
"Proceedings of the 11th International Conference on Production Research – Americas","","","","","10.1007/978-3-031-36121-0","Fernando DeschampsEdson Pinheiro de LimaSérgio E. Gouvêa da CostaMarcelo G. Trentin","2023","http://link.springer.com/book/10.1007/978-3-031-36121-0","Book"
"Proceedings of the 8th International Conference on Industrial Engineering","Lecture Notes in Mechanical Engineering","","","","10.1007/978-3-031-14125-6","Prof. Andrey A. RadionovProf. Vadim R. Gasiyarov","2023","http://link.springer.com/book/10.1007/978-3-031-14125-6","Book"
"International Conference on Cognitive based Information Processing and Applications (CIPA 2021)","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-981-16-5854-9","Bernard J. JansenHaibo LiangDr. Jun Ye","2022","http://link.springer.com/book/10.1007/978-981-16-5854-9","Book"
"Soft Computing for Security Applications","Advances in Intelligent Systems and Computing","","","","10.1007/978-981-99-3608-3","G. RanganathanYoussouf EL AlliouiSelwyn Piramuthu","2023","http://link.springer.com/book/10.1007/978-981-99-3608-3","Book"
"Advances in Automation, Signal Processing, Instrumentation, and Control","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-15-8221-9","Prof. Dr. Venkata Lakshmi Narayana KomanapalliProf. Dr. N. SivakumaranProf. Dr. Santoshkumar Hampannavar","2021","http://link.springer.com/book/10.1007/978-981-15-8221-9","Book"
"Encyclopedia of Ocean Engineering","","","","","10.1007/978-981-10-6946-8","Weicheng CuiShixiao FuZhiqiang Hu","2022","http://link.springer.com/referencework/10.1007/978-981-10-6946-8","ReferenceWork"
"Proceedings of I4SDG Workshop 2021","Mechanisms and Machine Science","","","","10.1007/978-3-030-87383-7","Prof. Giuseppe QuagliaProf. Alessandro GasparettoProf. Victor PetuyaProf. Giuseppe Carbone","2022","http://link.springer.com/book/10.1007/978-3-030-87383-7","Book"
"Disrupting Logistics","Future of Business and Finance","","","","10.1007/978-3-030-61093-7","Dr. Christian WurstDr. Luca Graf","2021","http://link.springer.com/book/10.1007/978-3-030-61093-7","Book"
"Dependable Computer Systems and Networks","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-37720-4","Wojciech ZamojskiJacek MazurkiewiczJarosław SugierTomasz WalkowiakJanusz Kacprzyk","2023","http://link.springer.com/book/10.1007/978-3-031-37720-4","Book"
"Intelligent Methods Systems and Applications in Computing, Communications and Control","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-031-16684-6","Simona DzitacDomnica DzitacFlorin Gheorghe FilipJanusz KacprzykMisu-Jan ManolescuHorea Oros","2023","http://link.springer.com/book/10.1007/978-3-031-16684-6","Book"
"Smart Sensors Measurement and Instrumentation","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-6913-3","Shreesha ChokkadiRajib Bandyopadhyay","2023","http://link.springer.com/book/10.1007/978-981-19-6913-3","Book"
"Automation and Robotics in the Architecture, Engineering, and Construction Industry","","","","","10.1007/978-3-030-77163-8","Dr. Houtan JebelliDr. Mahmoud HabibnezhadShayan ShayestehDr. Somayeh AsadiProf. SangHyun Lee","2022","http://link.springer.com/book/10.1007/978-3-030-77163-8","Book"
"Advances in Production Management Systems. The Path to Digital Transformation and Innovation of Production Management Systems","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-57993-7","Bojan LalicVidosav MajstorovicDr. Ugljesa MarjanovicGregor von CieminskiDavid Romero","2020","http://link.springer.com/book/10.1007/978-3-030-57993-7","Book"
"Advanced Manufacturing and Automation XI","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-0572-8","Dr. Yi WangProf. Kristian MartinsenProf. Tao YuProf. Kesheng Wang","2022","http://link.springer.com/book/10.1007/978-981-19-0572-8","Book"
"Sensors in Science and Technology","","","","","10.1007/978-3-658-34920-2","Prof. Dr. Ekbert HeringDr. Gert Schönfelder","2022","http://link.springer.com/book/10.1007/978-3-658-34920-2","Book"
"Operations, Logistics and Supply Chain Management","Lecture Notes in Logistics","","","","10.1007/978-3-319-92447-2","Prof. Dr. Henk ZijmProf. Dr. Matthias KlumppProf. Dr. Alberto RegattieriProf. Dr. Sunderesh Heragu","2019","http://link.springer.com/book/10.1007/978-3-319-92447-2","Book"
"4th International Conference on Artificial Intelligence and Applied Mathematics in Engineering","Engineering Cyber-Physical Systems and Critical Infrastructures","","","","10.1007/978-3-031-31956-3","D. Jude HemanthTuncay YigitUtku KoseUgur Guvenc","2023","http://link.springer.com/book/10.1007/978-3-031-31956-3","Book"
"Proceeding of 2021 International Conference on Wireless Communications, Networking and Applications","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-2456-9","Prof. Zhihong QianProf. Dr. M.A. JabbarProf. Xiaolong Li","2022","http://link.springer.com/book/10.1007/978-981-19-2456-9","Book"
"Industrial Internet of Things","Springer Series in Wireless Technology","","","","10.1007/978-3-319-42559-7","Sabina JeschkeChristian BrecherHoubing SongDanda B. Rawat","2017","http://link.springer.com/book/10.1007/978-3-319-42559-7","Book"
"Digitization for reliable and efficient manufacturing","Life Cycle Reliability and Safety Engineering","","7","4","10.1007/s41872-018-0051-y","Shashank GuptaPiyush Gupta","2018","http://link.springer.com/article/10.1007/s41872-018-0051-y","Article"
"Computational Logistics","Lecture Notes in Computer Science","","","","10.1007/978-3-031-43612-3","Joachim R. DadunaGernot LiedtkeXiaoning ShiStefan Voß","2023","http://link.springer.com/book/10.1007/978-3-031-43612-3","Book"
"Human Interaction, Emerging Technologies and Future Systems V","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-85540-6","Dr. Tareq AhramRedha Taiar","2022","http://link.springer.com/book/10.1007/978-3-030-85540-6","Book"
"Machine and Industrial Design in Mechanical Engineering","Mechanisms and Machine Science","","","","10.1007/978-3-030-88465-9","Prof. Milan RackovProf. Radivoje MitrovićProf. Maja Čavić","2022","http://link.springer.com/book/10.1007/978-3-030-88465-9","Book"
"Production Processes and Product Evolution in the Age of Disruption","Lecture Notes in Mechanical Engineering","","","","10.1007/978-3-031-34821-1","Francesco Gabriele GaliziaMarco Bortolini","2023","http://link.springer.com/book/10.1007/978-3-031-34821-1","Book"
"New Realities, Mobile Systems and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-96296-8","Michael E. AuerProf. Dr. Thrasyvoulos Tsiatsos","2022","http://link.springer.com/book/10.1007/978-3-030-96296-8","Book"
"Advances in Production Management Systems. The Path to Intelligent, Collaborative and Sustainable Manufacturing","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-319-66923-6","Prof. Hermann LöddingRalph RiedelDr. Klaus-Dieter ThobenGregor von CieminskiProf. Dr. Dimitris Kiritsis","2017","http://link.springer.com/book/10.1007/978-3-319-66923-6","Book"
"Sustainable Textile and Fashion Value Chains","","","","","10.1007/978-3-030-22018-1","Dr. André MatthesKatja BeyerProf. Dr. Holger CebullaProf. Dr. Marlen Gabriele ArnoldAnton Schumann","2021","http://link.springer.com/book/10.1007/978-3-030-22018-1","Book"
"Proceedings of Second International Conference on Advances in Computer Engineering and Communication Systems","Algorithms for Intelligent Systems","","","","10.1007/978-981-16-7389-4","Dr. A. Brahmananda ReddyDr. B.V. KiranmayeeDr. Raghava Rao MukkamalaDr. K. Srujan Raju","2022","http://link.springer.com/book/10.1007/978-981-16-7389-4","Book"
"ICDSMLA 2020","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-16-3690-5","Dr. Amit KumarProf. Dr. Sabrina SenatoreAssoc. Prof. Vinit Kumar Gunjan","2022","http://link.springer.com/book/10.1007/978-981-16-3690-5","Book"
"Proceedings of Geotechnical Challenges in Mining, Tunneling and Underground Infrastructures","Lecture Notes in Civil Engineering","","","","10.1007/978-981-16-9770-8","Dr. Amit Kumar VermaEdy Tonnizam MohamadRamesh Murlidhar BhatawdekarDr. Avtar Krishen RainaManoj KhandelwalDanial ArmaghaniKripamoy Sarkar","2022","http://link.springer.com/book/10.1007/978-981-16-9770-8","Book"
"The Economic Value of Digital Disruption","Management for Professionals","","","","10.1007/978-981-19-8148-7","Vijay Kumar","2023","http://link.springer.com/book/10.1007/978-981-19-8148-7","Book"
"The Digital Twin","","","","","10.1007/978-3-031-21343-4","Noel CrespiAdam T. DrobotRoberto Minerva","2023","http://link.springer.com/book/10.1007/978-3-031-21343-4","Book"
"Advances in Computer Science for Engineering and Education VI","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-3-031-36118-0","Zhengbing HuIvan DychkaMatthew He","2023","http://link.springer.com/book/10.1007/978-3-031-36118-0","Book"
"Advances in Design, Simulation and Manufacturing VI","Lecture Notes in Mechanical Engineering","","","","10.1007/978-3-031-32767-4","Vitalii IvanovJustyna TrojanowskaIvan PavlenkoErwin RauchJán Piteľ","2023","http://link.springer.com/book/10.1007/978-3-031-32767-4","Book"
"Congress on Intelligent Systems","Advances in Intelligent Systems and Computing","","","","10.1007/978-981-33-6981-8","Dr. Harish SharmaDr. Mukesh SaraswatDr. Anupam YadavProf. Joong Hoon KimDr. Jagdish Chand Bansal","2021","http://link.springer.com/book/10.1007/978-981-33-6981-8","Book"
"The Book’s Road in the Age of Digitization","","","","","10.1007/978-3-662-66683-8","Janina Krieger","2023","http://link.springer.com/book/10.1007/978-3-662-66683-8","Book"
"Frontier Computing","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-99-1428-9","Jason C. HungNeil Y. YenJia-Wei Chang","2023","http://link.springer.com/book/10.1007/978-981-99-1428-9","Book"
"Artificial Intelligence and Industrial Applications","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-030-51186-9","Dr. Tawfik MasrourDr. Anass CherrafiDr. Ibtissam El Hassani","2021","http://link.springer.com/book/10.1007/978-3-030-51186-9","Book"
"Advances in Production Management Systems. Artificial Intelligence for Sustainable and Resilient Production Systems","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-85902-2","Alexandre DolguiProf. Alain BernardDavid LemoineGregor von CieminskiDavid Romero","2021","http://link.springer.com/book/10.1007/978-3-030-85902-2","Book"
"Guidelines for Green Mine Construction and Management","","","","","10.1007/978-981-19-9760-0","Yong WangSuping PengLiang Wang","2023","http://link.springer.com/book/10.1007/978-981-19-9760-0","Book"
"Intelligent and Fuzzy Techniques in Aviation 4.0","Studies in Systems, Decision and Control","","","","10.1007/978-3-030-75067-1","Prof. Cengiz KahramanDr. Serhat Aydın","2022","http://link.springer.com/book/10.1007/978-3-030-75067-1","Book"
"Advances in Manufacturing III","Lecture Notes in Mechanical Engineering","","","","10.1007/978-3-030-99310-8","Prof. Justyna TrojanowskaPh.D. Agnieszka KujawińskaProf. Jose MachadoProf. Ivan Pavlenko","2022","http://link.springer.com/book/10.1007/978-3-030-99310-8","Book"
"Human Interface and the Management of Information: Applications in Complex Technological Environments","Lecture Notes in Computer Science","","","","10.1007/978-3-031-06509-5","Sakae YamamotoHirohiko Mori","2022","http://link.springer.com/book/10.1007/978-3-031-06509-5","Book"
